"","Year","Lon_M","Lat_M","MUN","ANC","DC","SST","SALI","GSST","BAT","CHL"
"1983",2001,-79.548,-11.206,0,0,102.1341,18.51464,35.1274,0.03349708,-6219.68,0.212278937
"3014",2001,-74.79984,-17.5203,0,0,98.80485,17.25208,34.93597,0.07045687,-4592.111,0.363909544
"701",2001,-73.04533,-18.0572,0,0,82.22797,17.58703,35.01985,0.1097177,-6217.527,0.288975246
"3403",2001,-79.90750122,-10.23916626,0,29.78143884,98.12578597,18.34547486,34.96754283,0.217451806,-4684.369715,0.483053949
"3468",2001,-78.09473,-12.13265,0,0,54.25162,16.31744,34.95262,0.04064835,-2041.474,0.49855099
"168",2001,-78.66956,-12.46715,0,0,90.93007,17.68904,35.09672,0.03569054,-5960.552,0.292347077
"1271",2001,-74.12187,-16.7364,0,0,38.21893,16.11477,34.90195,0.1430975,-4520.128,0.282267684
"56",2001,-81.88167,-7.283834,0,0,86.08633,18.78495,35.00961,0.04364594,-4648.204,0.369619295
"958",2001,-73.88682,-16.4065,0,0,14.47136,16.2369,34.88118,0.2385882,-1240.443,0.915587843
"2829",2001,-74.6207,-17.54687,0,0,94.36759,17.40591,34.92616,0.2744893,-4651.537,0.329581947
"1234",2001,-79.49583,-9.740334,0,0,62.37037,17.67195,34.94147,0.1436416,-543.1736,0.775618609
"2036",2001,-81.18616,-8.058167,0,0,102.1205,18.62366,34.98779,0.07786946,-6193.526,0.793881996
"207",2001,-77.7726,-12.23542,0,0,36.55112,16.77365,34.97763,0.12668,-1522.159,0.835141281
"2259",2001,-77.86622,-14.82102,0,0,99.73114,16.1787,34.92752,0.06011869,-4098.608,0.539872245
"486",2001,-81.0495,-8.8635,0,0,116.5782,18.91873,34.9934,0.01778712,-5656.292,0.687493061
"3570",2001,-79.04716,-10.64517,0,0,60.12117,17.14407,35.00409,0.273295,-1942.613,0.430262484
"59",2001,-76.53773,-14.74625,0,0,33.50961,16.53126,34.92464,0.1026221,-2287.637,2.562849768
"3130",2001,-75.03795,-16.30958,0,0,44.90391,16.86021,34.99341,0.1078908,-5511.456,0.342085662
"360",2001,-78.439,-10.29883,0,0,18.65669,16.8671,34.97728,0.05610705,-196.8607,1.346472636
"2074",2001,-81.15784,-8.331667,0,0,107.0893,18.83161,35.00629,0.07978902,-5732.784,0.64220874
"1535",2001,-73.7093,-17.57015,0,0,73.822,17.91923,35.03298,0.05436676,-5902.254,0.34766539
"280",2001,-79.79516602,-9.61550045,0,32.57124418,74.87551694,18.46854852,34.95474451,0.246228699,-1368.890883,0.412954894
"1280",2001,-77.57377,-15.21463,0,0,97.18994,16.70299,34.98128,0.3259347,-3586.913,0.327555516
"2668",2001,-72.22068,-17.64698,0,0,35.93843,16.58291,34.96456,0.0875828,-1600.872,0.552393199
"3696",2001,-73.07317,-17.09493,0,0,32.96317,17.19564,34.99634,0.07889744,-2610.216,0.528282377
"1882",2001,-77.48295,-14.7107,0,0,76.73681,16.36604,34.96154,0.07722077,-4266.389,0.525357564
"569",2001,-75.13713,-17.0041,0,0,82.47737,17.28443,34.95076,0.1116443,-4387.814,0.290056061
"2170",2001,-79.428,-11.15,0,0,94.34355,18.46852,35.12638,0.02166907,-5492.192,0.2292062
"782",2001,-75.05203,-16.84927,0,0,72.00321,17.05537,34.93081,0.130345,-4657.904,0.292446747
"3580",2001,-77.55466,-14.4492,0,0,74.68493,16.51653,34.95229,0.06682634,-4568.034,0.758141097
"1552",2001,-79.39477,-11.1312,0,0,92.08554,18.46232,35.12802,0.01765335,-4752.896,0.231680203
"1238",2001,-74.09487,-16.6994,0,0,35.51831,16.06266,34.90097,0.14571,-4543.088,0.291844613
"638",2001,-80.08633,-9.781167,0,0,94.5473,18.6666,34.97458,0.2420547,-4137.275,0.396640516
"3567",2001,-80.17516,-7.762,0,0,39.86961,16.77437,34.94156,0.1374133,-180.38,1.688370942
"663",2001,-75.11443,-16.95892,0,0,79.48429,17.18904,34.94678,0.1060216,-4437.174,0.280776145
"3582",2001,-78.1886,-12.18992,0,0,60.0449,16.2819,34.94962,0.06527167,-2090.18,0.44721411
