X,Y
-70.208,-19.624
-70.208,-19.624
-70.206,-19.623
-70.206,-19.622
-70.206,-19.621
-70.205,-19.621
-70.204,-19.62
-70.204,-19.619
-70.204,-19.619
-70.205,-19.619
-70.206,-19.618
-70.21,-19.618
-70.212,-19.616
-70.212,-19.615
-70.214,-19.613
-70.216,-19.613
-70.218,-19.615
-70.218,-19.615
-70.221,-19.612
-70.223,-19.612
-70.223,-19.612
-70.223,-19.611
-70.225,-19.609
-70.225,-19.608
-70.227,-19.606
-70.228,-19.606
-70.228,-19.605
-70.229,-19.605
-70.231,-19.604
-70.232,-19.605
-70.233,-19.605
-70.235,-19.603
-70.236,-19.603
-70.237,-19.602
-70.239,-19.602
-70.24,-19.601
-70.241,-19.601
-70.241,-19.601
-70.24,-19.6
-70.241,-19.599
-70.241,-19.598
-70.24,-19.597
-70.239,-19.597
-70.238,-19.596
-70.235,-19.596
-70.234,-19.595
-70.233,-19.595
-70.233,-19.596
-70.23,-19.596
-70.229,-19.597
-70.224,-19.597
-70.223,-19.596
-70.223,-19.596
-70.222,-19.595
-70.221,-19.595
-70.22,-19.595
-70.219,-19.595
-70.218,-19.594
-70.213,-19.594
-70.207,-19.587
-70.207,-19.584
-70.206,-19.583
-70.206,-19.582
-70.207,-19.581
-70.207,-19.579
-70.206,-19.578
-70.206,-19.577
-70.207,-19.576
-70.207,-19.574
-70.206,-19.573
-70.206,-19.573
-70.205,-19.572
-70.207,-19.57
-70.207,-19.569
-70.208,-19.568
-70.208,-19.566
-70.208,-19.565
-70.211,-19.565
-70.212,-19.565
-70.213,-19.565
-70.214,-19.564
-70.215,-19.564
-70.215,-19.563
-70.215,-19.563
-70.215,-19.562
-70.215,-19.561
-70.213,-19.559
-70.212,-19.559
-70.211,-19.558
-70.21,-19.558
-70.209,-19.557
-70.208,-19.557
-70.206,-19.556
-70.206,-19.554
-70.207,-19.553
-70.207,-19.553
-70.209,-19.551
-70.209,-19.55
-70.21,-19.549
-70.21,-19.548
-70.212,-19.546
-70.212,-19.544
-70.213,-19.543
-70.213,-19.541
-70.213,-19.54
-70.212,-19.54
-70.211,-19.54
-70.211,-19.538
-70.21,-19.538
-70.21,-19.537
-70.211,-19.536
-70.211,-19.535
-70.212,-19.534
-70.212,-19.533
-70.213,-19.533
-70.212,-19.532
-70.212,-19.531
-70.213,-19.53
-70.212,-19.529
-70.213,-19.528
-70.213,-19.528
-70.212,-19.528
-70.211,-19.527
-70.21,-19.527
-70.209,-19.528
-70.209,-19.528
-70.209,-19.527
-70.206,-19.524
-70.206,-19.523
-70.204,-19.521
-70.204,-19.513
-70.205,-19.511
-70.205,-19.51
-70.207,-19.508
-70.207,-19.507
-70.206,-19.505
-70.205,-19.505
-70.205,-19.505
-70.205,-19.503
-70.204,-19.503
-70.204,-19.501
-70.205,-19.499
-70.205,-19.498
-70.205,-19.497
-70.205,-19.495
-70.206,-19.494
-70.208,-19.494
-70.209,-19.495
-70.21,-19.495
-70.211,-19.495
-70.212,-19.495
-70.212,-19.494
-70.212,-19.493
-70.213,-19.493
-70.213,-19.491
-70.212,-19.49
-70.212,-19.488
-70.214,-19.487
-70.214,-19.486
-70.213,-19.485
-70.215,-19.483
-70.215,-19.481
-70.216,-19.479
-70.216,-19.476
-70.217,-19.475
-70.217,-19.474
-70.218,-19.473
-70.218,-19.469
-70.219,-19.468
-70.219,-19.468
-70.22,-19.467
-70.22,-19.465
-70.22,-19.464
-70.22,-19.46
-70.219,-19.459
-70.218,-19.459
-70.217,-19.458
-70.217,-19.452
-70.218,-19.451
-70.218,-19.45
-70.219,-19.449
-70.219,-19.448
-70.22,-19.448
-70.22,-19.444
-70.22,-19.444
-70.221,-19.445
-70.223,-19.445
-70.223,-19.444
-70.223,-19.443
-70.225,-19.442
-70.225,-19.441
-70.225,-19.44
-70.226,-19.44
-70.227,-19.44
-70.229,-19.44
-70.23,-19.439
-70.229,-19.438
-70.229,-19.438
-70.228,-19.437
-70.228,-19.436
-70.228,-19.435
-70.227,-19.435
-70.226,-19.435
-70.226,-19.43
-70.23,-19.427
-70.23,-19.426
-70.23,-19.425
-70.23,-19.423
-70.23,-19.422
-70.23,-19.417
-70.23,-19.416
-70.23,-19.415
-70.226,-19.411
-70.226,-19.409
-70.228,-19.408
-70.228,-19.405
-70.228,-19.405
-70.229,-19.405
-70.23,-19.404
-70.231,-19.404
-70.232,-19.403
-70.237,-19.403
-70.237,-19.403
-70.237,-19.402
-70.239,-19.4
-70.239,-19.397
-70.24,-19.396
-70.24,-19.395
-70.24,-19.394
-70.24,-19.392
-70.24,-19.391
-70.24,-19.389
-70.239,-19.388
-70.239,-19.388
-70.238,-19.387
-70.238,-19.383
-70.238,-19.383
-70.239,-19.383
-70.241,-19.381
-70.241,-19.38
-70.243,-19.378
-70.243,-19.378
-70.244,-19.377
-70.244,-19.376
-70.245,-19.375
-70.245,-19.373
-70.245,-19.373
-70.245,-19.371
-70.246,-19.37
-70.247,-19.37
-70.249,-19.368
-70.249,-19.368
-70.25,-19.366
-70.25,-19.364
-70.251,-19.364
-70.252,-19.364
-70.254,-19.361
-70.255,-19.361
-70.256,-19.36
-70.256,-19.359
-70.258,-19.358
-70.258,-19.356
-70.258,-19.355
-70.259,-19.355
-70.261,-19.354
-70.262,-19.354
-70.262,-19.353
-70.262,-19.352
-70.264,-19.351
-70.264,-19.349
-70.262,-19.348
-70.262,-19.347
-70.263,-19.346
-70.263,-19.346
-70.264,-19.346
-70.264,-19.345
-70.265,-19.344
-70.265,-19.338
-70.264,-19.338
-70.263,-19.338
-70.262,-19.34
-70.261,-19.34
-70.26,-19.339
-70.26,-19.337
-70.259,-19.335
-70.258,-19.335
-70.256,-19.333
-70.256,-19.332
-70.257,-19.331
-70.257,-19.33
-70.261,-19.326
-70.263,-19.326
-70.263,-19.325
-70.265,-19.325
-70.266,-19.325
-70.267,-19.325
-70.268,-19.323
-70.268,-19.322
-70.268,-19.322
-70.269,-19.323
-70.272,-19.323
-70.275,-19.32
-70.275,-19.319
-70.275,-19.318
-70.275,-19.317
-70.278,-19.315
-70.278,-19.315
-70.279,-19.314
-70.279,-19.313
-70.28,-19.312
-70.28,-19.311
-70.282,-19.309
-70.285,-19.309
-70.286,-19.308
-70.287,-19.308
-70.287,-19.308
-70.287,-19.307
-70.285,-19.305
-70.284,-19.305
-70.281,-19.302
-70.283,-19.3
-70.282,-19.299
-70.282,-19.297
-70.282,-19.297
-70.281,-19.297
-70.28,-19.297
-70.28,-19.296
-70.28,-19.295
-70.28,-19.294
-70.28,-19.294
-70.283,-19.294
-70.284,-19.293
-70.285,-19.293
-70.286,-19.292
-70.286,-19.288
-70.285,-19.287
-70.285,-19.286
-70.286,-19.285
-70.286,-19.283
-70.287,-19.283
-70.287,-19.28
-70.286,-19.279
-70.285,-19.279
-70.284,-19.278
-70.285,-19.277
-70.285,-19.272
-70.284,-19.271
-70.284,-19.269
-70.283,-19.268
-70.283,-19.265
-70.282,-19.264
-70.282,-19.26
-70.281,-19.259
-70.281,-19.255
-70.28,-19.254
-70.281,-19.253
-70.281,-19.253
-70.282,-19.252
-70.282,-19.246
-70.283,-19.245
-70.283,-19.243
-70.282,-19.242
-70.284,-19.24
-70.284,-19.238
-70.283,-19.237
-70.283,-19.232
-70.282,-19.232
-70.283,-19.231
-70.283,-19.23
-70.284,-19.229
-70.288,-19.229
-70.288,-19.228
-70.288,-19.226
-70.286,-19.224
-70.288,-19.223
-70.288,-19.22
-70.287,-19.219
-70.287,-19.217
-70.286,-19.217
-70.286,-19.216
-70.283,-19.212
-70.28,-19.212
-70.278,-19.21
-70.278,-19.21
-70.276,-19.209
-70.276,-19.208
-70.275,-19.208
-70.275,-19.207
-70.275,-19.206
-70.274,-19.206
-70.272,-19.204
-70.272,-19.203
-70.271,-19.203
-70.271,-19.201
-70.27,-19.2
-70.27,-19.198
-70.269,-19.196
-70.27,-19.195
-70.27,-19.194
-70.27,-19.193
-70.27,-19.193
-70.272,-19.191
-70.272,-19.19
-70.274,-19.188
-70.274,-19.187
-70.275,-19.185
-70.275,-19.183
-70.276,-19.182
-70.276,-19.181
-70.275,-19.18
-70.276,-19.179
-70.276,-19.177
-70.277,-19.176
-70.277,-19.175
-70.276,-19.174
-70.276,-19.172
-70.275,-19.171
-70.275,-19.17
-70.276,-19.169
-70.276,-19.168
-70.277,-19.168
-70.277,-19.166
-70.276,-19.165
-70.276,-19.164
-70.275,-19.163
-70.275,-19.16
-70.275,-19.16
-70.273,-19.16
-70.273,-19.159
-70.273,-19.157
-70.272,-19.156
-70.272,-19.152
-70.273,-19.151
-70.273,-19.149
-70.272,-19.148
-70.272,-19.148
-70.27,-19.145
-70.27,-19.144
-70.27,-19.143
-70.273,-19.141
-70.273,-19.14
-70.275,-19.138
-70.275,-19.137
-70.276,-19.136
-70.277,-19.136
-70.277,-19.136
-70.277,-19.135
-70.279,-19.133
-70.281,-19.133
-70.281,-19.133
-70.281,-19.131
-70.28,-19.13
-70.28,-19.128
-70.285,-19.123
-70.285,-19.119
-70.286,-19.118
-70.286,-19.118
-70.285,-19.117
-70.285,-19.115
-70.283,-19.113
-70.283,-19.112
-70.284,-19.111
-70.284,-19.11
-70.285,-19.109
-70.285,-19.105
-70.284,-19.105
-70.283,-19.105
-70.283,-19.104
-70.285,-19.103
-70.285,-19.1
-70.285,-19.099
-70.285,-19.098
-70.287,-19.097
-70.287,-19.093
-70.289,-19.092
-70.289,-19.09
-70.29,-19.089
-70.291,-19.089
-70.291,-19.088
-70.291,-19.087
-70.292,-19.086
-70.292,-19.084
-70.294,-19.083
-70.294,-19.082
-70.295,-19.081
-70.295,-19.08
-70.296,-19.079
-70.297,-19.079
-70.298,-19.078
-70.298,-19.077
-70.3,-19.075
-70.3,-19.074
-70.297,-19.072
-70.297,-19.067
-70.298,-19.067
-70.298,-19.066
-70.299,-19.065
-70.299,-19.064
-70.3,-19.063
-70.3,-19.063
-70.3,-19.062
-70.3,-19.061
-70.303,-19.059
-70.304,-19.059
-70.306,-19.057
-70.306,-19.053
-70.307,-19.052
-70.307,-19.05
-70.308,-19.049
-70.308,-19.047
-70.309,-19.046
-70.309,-19.045
-70.309,-19.045
-70.31,-19.045
-70.31,-19.044
-70.31,-19.043
-70.311,-19.043
-70.312,-19.043
-70.312,-19.043
-70.312,-19.042
-70.313,-19.041
-70.313,-19.034
-70.312,-19.033
-70.312,-19.031
-70.315,-19.028
-70.315,-19.025
-70.316,-19.025
-70.317,-19.025
-70.319,-19.023
-70.319,-19.021
-70.32,-19.02
-70.32,-19.013
-70.318,-19.012
-70.318,-19.011
-70.313,-19.006
-70.313,-19.004
-70.314,-19.003
-70.314,-19.003
-70.316,-19
-70.315,-18.998
-70.315,-18.997
-70.315,-18.996
-70.315,-18.995
-70.313,-18.993
-70.313,-18.993
-70.311,-18.991
-70.311,-18.984
-70.312,-18.983
-70.312,-18.982
-70.313,-18.981
-70.313,-18.98
-70.314,-18.979
-70.314,-18.978
-70.315,-18.977
-70.315,-18.976
-70.314,-18.975
-70.314,-18.974
-70.313,-18.973
-70.313,-18.971
-70.314,-18.97
-70.314,-18.969
-70.313,-18.968
-70.313,-18.962
-70.315,-18.96
-70.315,-18.956
-70.316,-18.955
-70.315,-18.953
-70.316,-18.952
-70.316,-18.951
-70.317,-18.95
-70.317,-18.949
-70.319,-18.947
-70.32,-18.947
-70.321,-18.946
-70.322,-18.946
-70.324,-18.944
-70.324,-18.94
-70.322,-18.938
-70.322,-18.933
-70.321,-18.932
-70.321,-18.929
-70.322,-18.928
-70.322,-18.923
-70.323,-18.923
-70.323,-18.922
-70.324,-18.921
-70.324,-18.919
-70.325,-18.918
-70.325,-18.917
-70.326,-18.915
-70.326,-18.913
-70.327,-18.913
-70.327,-18.912
-70.329,-18.91
-70.329,-18.909
-70.33,-18.908
-70.33,-18.907
-70.331,-18.906
-70.33,-18.9
-70.33,-18.899
-70.33,-18.897
-70.329,-18.896
-70.329,-18.895
-70.33,-18.894
-70.33,-18.893
-70.331,-18.892
-70.331,-18.89
-70.332,-18.888
-70.332,-18.886
-70.333,-18.885
-70.333,-18.872
-70.332,-18.872
-70.332,-18.871
-70.333,-18.87
-70.333,-18.868
-70.335,-18.866
-70.335,-18.865
-70.336,-18.864
-70.336,-18.863
-70.336,-18.862
-70.336,-18.861
-70.337,-18.86
-70.337,-18.859
-70.338,-18.858
-70.338,-18.857
-70.339,-18.856
-70.339,-18.853
-70.339,-18.853
-70.34,-18.853
-70.342,-18.851
-70.342,-18.85
-70.343,-18.849
-70.343,-18.848
-70.344,-18.847
-70.345,-18.847
-70.346,-18.846
-70.346,-18.845
-70.347,-18.844
-70.347,-18.843
-70.348,-18.842
-70.348,-18.84
-70.349,-18.839
-70.349,-18.838
-70.349,-18.838
-70.35,-18.838
-70.351,-18.837
-70.352,-18.837
-70.354,-18.835
-70.354,-18.833
-70.353,-18.833
-70.353,-18.832
-70.352,-18.831
-70.352,-18.828
-70.353,-18.828
-70.353,-18.825
-70.354,-18.824
-70.354,-18.823
-70.353,-18.822
-70.353,-18.821
-70.352,-18.82
-70.352,-18.818
-70.356,-18.814
-70.356,-18.813
-70.354,-18.812
-70.354,-18.809
-70.355,-18.808
-70.355,-18.807
-70.356,-18.805
-70.356,-18.802
-70.357,-18.801
-70.357,-18.8
-70.358,-18.8
-70.358,-18.8
-70.361,-18.798
-70.361,-18.796
-70.36,-18.795
-70.36,-18.793
-70.36,-18.793
-70.361,-18.793
-70.362,-18.792
-70.363,-18.792
-70.364,-18.792
-70.363,-18.791
-70.361,-18.791
-70.36,-18.79
-70.359,-18.79
-70.358,-18.789
-70.358,-18.788
-70.357,-18.788
-70.357,-18.784
-70.354,-18.781
-70.354,-18.779
-70.353,-18.778
-70.353,-18.778
-70.354,-18.778
-70.355,-18.778
-70.355,-18.775
-70.354,-18.774
-70.354,-18.772
-70.355,-18.771
-70.355,-18.767
-70.354,-18.766
-70.354,-18.765
-70.349,-18.761
-70.344,-18.76
-70.343,-18.759
-70.342,-18.759
-70.34,-18.757
-70.339,-18.757
-70.339,-18.757
-70.339,-18.742
-70.34,-18.741
-70.34,-18.738
-70.341,-18.737
-70.34,-18.733
-70.341,-18.733
-70.341,-18.729
-70.342,-18.728
-70.342,-18.728
-70.343,-18.727
-70.343,-18.718
-70.342,-18.717
-70.342,-18.714
-70.343,-18.713
-70.343,-18.713
-70.344,-18.712
-70.344,-18.71
-70.343,-18.709
-70.343,-18.708
-70.342,-18.708
-70.342,-18.707
-70.341,-18.706
-70.341,-18.705
-70.341,-18.704
-70.341,-18.703
-70.34,-18.703
-70.34,-18.702
-70.339,-18.701
-70.339,-18.699
-70.338,-18.698
-70.338,-18.693
-70.337,-18.692
-70.337,-18.687
-70.338,-18.686
-70.338,-18.676
-70.339,-18.675
-70.339,-18.674
-70.34,-18.673
-70.34,-18.673
-70.341,-18.672
-70.341,-18.671
-70.341,-18.67
-70.341,-18.669
-70.344,-18.667
-70.343,-18.666
-70.343,-18.664
-70.345,-18.663
-70.345,-18.662
-70.346,-18.661
-70.346,-18.658
-70.346,-18.658
-70.347,-18.658
-70.347,-18.658
-70.347,-18.657
-70.348,-18.656
-70.348,-18.652
-70.351,-18.648
-70.351,-18.648
-70.352,-18.647
-70.351,-18.646
-70.351,-18.645
-70.351,-18.644
-70.351,-18.643
-70.35,-18.643
-70.35,-18.638
-70.348,-18.637
-70.348,-18.635
-70.346,-18.633
-70.346,-18.632
-70.346,-18.631
-70.346,-18.629
-70.345,-18.628
-70.345,-18.628
-70.344,-18.627
-70.344,-18.626
-70.341,-18.623
-70.341,-18.618
-70.341,-18.617
-70.34,-18.61
-70.34,-18.609
-70.34,-18.606
-70.341,-18.604
-70.341,-18.603
-70.34,-18.601
-70.34,-18.588
-70.34,-18.587
-70.341,-18.583
-70.341,-18.582
-70.341,-18.577
-70.341,-18.576
-70.34,-18.572
-70.34,-18.571
-70.34,-18.569
-70.339,-18.568
-70.339,-18.567
-70.34,-18.566
-70.34,-18.563
-70.339,-18.562
-70.339,-18.56
-70.34,-18.559
-70.34,-18.558
-70.338,-18.557
-70.338,-18.556
-70.337,-18.555
-70.337,-18.554
-70.336,-18.553
-70.334,-18.553
-70.334,-18.553
-70.334,-18.552
-70.333,-18.551
-70.333,-18.548
-70.332,-18.548
-70.332,-18.543
-70.335,-18.541
-70.335,-18.539
-70.333,-18.537
-70.332,-18.537
-70.331,-18.536
-70.33,-18.536
-70.329,-18.535
-70.328,-18.535
-70.328,-18.535
-70.327,-18.535
-70.326,-18.533
-70.326,-18.532
-70.325,-18.531
-70.325,-18.529
-70.324,-18.528
-70.324,-18.526
-70.323,-18.525
-70.323,-18.524
-70.322,-18.523
-70.322,-18.522
-70.321,-18.521
-70.321,-18.52
-70.321,-18.519
-70.321,-18.518
-70.318,-18.515
-70.318,-18.513
-70.319,-18.512
-70.319,-18.508
-70.321,-18.507
-70.321,-18.504
-70.322,-18.503
-70.322,-18.502
-70.323,-18.501
-70.323,-18.5
-70.327,-18.496
-70.327,-18.495
-70.328,-18.494
-70.328,-18.493
-70.328,-18.492
-70.33,-18.492
-70.331,-18.491
-70.331,-18.488
-70.33,-18.487
-70.33,-18.484
-70.329,-18.483
-70.329,-18.482
-70.33,-18.481
